players_used,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,url,year,team
29,38,40,411,128,31.1,10.82,3.37,0.09,0.27,17.7,17,5,7,40.6,35.0,0.09,-0.6,0.0,/en/squads/4fcb34fd/2020-2021/Benevento-Stats,2020-2021,"(None, None)"
37,38,49,495,175,35.4,13.03,4.61,0.09,0.26,18.5,24,3,4,54.6,51.1,0.11,-5.6,-5.1,/en/squads/1d8099f8/2020-2021/Bologna-Stats,2020-2021,"(None, None)"
32,38,43,429,122,28.4,11.29,3.21,0.09,0.32,17.4,13,4,5,47.1,43.4,0.1,-4.1,-4.4,/en/squads/c4260e09/2020-2021/Cagliari-Stats,2020-2021,"(None, None)"
31,38,44,353,111,31.4,9.29,2.92,0.1,0.32,18.8,15,9,9,40.4,33.4,0.1,3.6,1.6,/en/squads/3074d7b1/2020-2021/Crotone-Stats,2020-2021,"(None, None)"
30,38,44,366,115,31.4,9.63,3.03,0.1,0.33,16.9,14,6,6,44.9,40.2,0.11,-0.9,-2.2,/en/squads/421387cf/2020-2021/Fiorentina-Stats,2020-2021,"(None, None)"
34,38,46,338,120,35.5,8.89,3.16,0.12,0.35,18.0,11,4,4,38.8,35.6,0.11,7.2,6.4,/en/squads/658bf2de/2020-2021/Genoa-Stats,2020-2021,"(None, None)"
32,38,38,400,118,29.5,10.53,3.11,0.09,0.3,16.2,13,3,3,45.3,43.0,0.11,-7.3,-8.0,/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats,2020-2021,"(None, None)"
25,38,84,543,194,35.7,14.29,5.11,0.14,0.39,16.3,17,8,9,74.2,67.2,0.13,9.8,8.8,/en/squads/d609edc0/2020-2021/Internazionale-Stats,2020-2021,"(None, None)"
30,38,76,585,206,35.2,15.39,5.42,0.12,0.33,16.8,23,8,10,74.4,67.0,0.12,1.6,1.0,/en/squads/e0652b02/2020-2021/Juventus-Stats,2020-2021,"(None, None)"
30,38,59,514,175,34.0,13.53,4.61,0.1,0.3,17.3,14,6,10,58.2,50.7,0.1,0.8,2.3,/en/squads/7213da33/2020-2021/Lazio-Stats,2020-2021,"(None, None)"
29,38,72,537,184,34.3,14.13,4.84,0.11,0.31,18.4,30,15,20,70.7,56.0,0.11,1.3,1.0,/en/squads/dc56fe14/2020-2021/Milan-Stats,2020-2021,"(None, None)"
25,38,83,637,217,34.1,16.76,5.71,0.12,0.35,18.1,25,7,8,67.7,61.4,0.1,15.3,14.6,/en/squads/d48ad4ff/2020-2021/Napoli-Stats,2020-2021,"(None, None)"
42,38,39,392,123,31.4,10.32,3.24,0.09,0.28,18.1,20,5,5,42.5,38.6,0.1,-3.5,-4.6,/en/squads/eab4234c/2020-2021/Parma-Stats,2020-2021,"(None, None)"
31,38,67,537,191,35.6,14.13,5.03,0.11,0.31,16.4,14,7,8,65.3,59.0,0.12,1.7,1.0,/en/squads/cf74a709/2020-2021/Roma-Stats,2020-2021,"(None, None)"
27,38,52,422,134,31.8,11.11,3.53,0.11,0.35,17.5,15,5,6,45.4,41.1,0.1,6.6,5.9,/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats,2020-2021,"(None, None)"
28,38,61,516,164,31.8,13.58,4.32,0.09,0.29,18.7,25,13,14,58.4,47.7,0.09,2.6,0.3,/en/squads/e2befd26/2020-2021/Sassuolo-Stats,2020-2021,"(None, None)"
35,38,52,382,130,34.0,10.05,3.42,0.13,0.37,16.8,10,4,5,46.6,42.7,0.12,5.4,5.3,/en/squads/68449f6d/2020-2021/Spezia-Stats,2020-2021,"(None, None)"
29,38,49,457,144,31.5,12.03,3.79,0.1,0.31,17.5,40,5,6,50.0,45.3,0.1,-1.0,-1.3,/en/squads/105360fe/2020-2021/Torino-Stats,2020-2021,"(None, None)"
33,38,40,410,125,30.5,10.79,3.29,0.09,0.29,18.1,13,4,4,45.7,42.9,0.11,-5.7,-6.9,/en/squads/04eea015/2020-2021/Udinese-Stats,2020-2021,"(None, None)"
32,38,62,598,167,27.9,15.74,4.39,0.1,0.34,16.5,16,5,6,62.4,58.1,0.1,-0.4,-1.1,/en/squads/922493f3/2021-2022/Atalanta-Stats,2021-2022,"(None, None)"
36,38,43,434,143,32.9,11.42,3.76,0.09,0.27,18.1,14,4,5,44.9,41.0,0.1,-1.9,-2.0,/en/squads/1d8099f8/2021-2022/Bologna-Stats,2021-2022,"(None, None)"
33,38,34,420,117,27.9,11.05,3.08,0.07,0.26,17.3,17,3,4,39.0,36.4,0.09,-5.0,-5.4,/en/squads/c4260e09/2021-2022/Cagliari-Stats,2021-2022,"(None, None)"
28,38,47,490,151,30.8,12.89,3.97,0.08,0.26,18.5,16,7,7,44.9,39.3,0.08,2.1,0.7,/en/squads/a3d88bd8/2021-2022/Empoli-Stats,2021-2022,"(None, None)"
28,38,59,501,172,34.3,13.18,4.53,0.1,0.29,17.2,25,9,12,60.0,50.8,0.11,-1.0,-0.8,/en/squads/421387cf/2021-2022/Fiorentina-Stats,2021-2022,"(None, None)"
40,38,26,397,106,26.7,10.45,2.79,0.05,0.19,18.8,12,6,7,37.2,31.8,0.08,-11.2,-11.8,/en/squads/658bf2de/2021-2022/Genoa-Stats,2021-2022,"(None, None)"
31,38,63,455,152,33.4,11.97,4.0,0.12,0.37,16.9,15,7,8,50.4,44.2,0.1,12.6,11.8,/en/squads/0e72edf2/2021-2022/Hellas-Verona-Stats,2021-2022,"(None, None)"
27,38,83,667,239,35.8,17.55,6.29,0.11,0.32,15.9,13,7,11,81.6,73.6,0.11,1.4,2.4,/en/squads/d609edc0/2021-2022/Internazionale-Stats,2021-2022,"(None, None)"
32,38,56,517,166,32.1,13.61,4.37,0.1,0.31,17.5,18,5,6,51.4,46.7,0.09,4.6,4.3,/en/squads/e0652b02/2021-2022/Juventus-Stats,2021-2022,"(None, None)"
27,38,74,445,185,41.6,11.71,4.87,0.15,0.36,17.4,14,7,9,55.3,48.2,0.11,18.7,18.8,/en/squads/7213da33/2021-2022/Lazio-Stats,2021-2022,"(None, None)"
28,38,66,592,187,31.6,15.58,4.92,0.1,0.33,18.4,23,5,8,59.7,54.1,0.09,6.3,6.9,/en/squads/dc56fe14/2021-2022/Milan-Stats,2021-2022,"(None, None)"
27,38,74,565,186,32.9,14.87,4.89,0.11,0.34,18.2,25,10,14,57.8,46.6,0.08,16.2,17.4,/en/squads/d48ad4ff/2021-2022/Napoli-Stats,2021-2022,"(None, None)"
29,38,58,592,184,31.1,15.58,4.84,0.09,0.28,17.3,21,7,9,65.1,58.1,0.1,-7.1,-7.1,/en/squads/cf74a709/2021-2022/Roma-Stats,2021-2022,"(None, None)"
42,38,32,426,130,30.5,11.21,3.42,0.07,0.22,18.1,20,4,5,36.5,32.9,0.08,-4.5,-4.9,/en/squads/c5577084/2021-2022/Salernitana-Stats,2021-2022,"(None, None)"
34,38,42,386,118,30.6,10.16,3.11,0.1,0.34,18.1,12,2,4,36.7,33.4,0.09,5.3,6.6,/en/squads/8ff9e3b3/2021-2022/Sampdoria-Stats,2021-2022,"(None, None)"
29,38,60,569,204,35.9,14.97,5.37,0.09,0.26,18.8,14,7,7,55.7,50.2,0.09,4.3,2.8,/en/squads/e2befd26/2021-2022/Sassuolo-Stats,2021-2022,"(None, None)"
30,38,38,381,127,33.3,10.03,3.34,0.09,0.28,18.7,17,3,5,40.1,36.2,0.1,-2.1,-1.2,/en/squads/68449f6d/2021-2022/Spezia-Stats,2021-2022,"(None, None)"
31,38,43,470,142,30.2,12.37,3.74,0.08,0.26,17.3,16,6,6,48.7,44.1,0.1,-5.7,-7.1,/en/squads/105360fe/2021-2022/Torino-Stats,2021-2022,"(None, None)"
29,38,58,505,181,35.8,13.29,4.76,0.11,0.3,17.8,19,3,4,51.3,48.2,0.1,6.7,6.8,/en/squads/04eea015/2021-2022/Udinese-Stats,2021-2022,"(None, None)"
39,38,34,349,113,32.4,9.18,2.97,0.09,0.27,18.2,22,3,5,36.5,32.4,0.09,-2.5,-1.4,/en/squads/af5d5982/2021-2022/Venezia-Stats,2021-2022,"(None, None)"
