team,No of players,90s played,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Granada,31,38,46.66666667,388,123.3333333,31.86666667,10.21333333,3.246666667,0.113333333,0.35,19.1,19.33333333,3.666666667,5,41.66666667,37.76666667,0.103333333,5,5.233333333
Greuther Furth,29,34,26,309,96,31.1,9.09,2.82,0.07,0.22,18.2,13,5,5,30,26.2,0.09,-4,-5.2
Hellas Verona,31,38,48.66666667,430,138.6666667,32.16666667,11.31666667,3.65,0.1,0.306666667,16.83333333,13.33333333,6,6.666666667,48.73333333,43.6,0.103333333,-0.066666667,-0.933333333
Hertha BSC,33.33333333,34,40,366.3333333,126.6666667,34.53333333,10.77666667,3.726666667,0.103333333,0.29,17.86666667,13,3.333333333,4,39.43333333,36.26666667,0.103333333,0.566666667,0.4
Hoffenheim,31,34,52.66666667,441,151,34.26666667,12.97,4.44,0.113333333,0.333333333,16.56666667,19,2.666666667,3.333333333,55.43333333,52.86666667,0.12,-2.766666667,-2.866666667
Huesca,27,38,32,404,130,32.2,10.63,3.42,0.07,0.22,18,13,3,4,38.9,36.1,0.09,-6.9,-7.1
Internazionale,27,38,82.33333333,605.6666667,216.3333333,35.7,15.93666667,5.693333333,0.123333333,0.343333333,16.6,17.33333333,8.333333333,10.33333333,75.06666667,67.2,0.113333333,7.266666667,6.8
Juventus,30.66666667,38,68.33333333,589,198.6666667,33.66666667,15.5,5.226666667,0.103333333,0.303333333,17.76666667,27,8.666666667,10,65.63333333,57.93333333,0.1,2.7,1.733333333
Koln,27.66666667,34,45,411.3333333,133,32.2,12.1,3.91,0.103333333,0.316666667,16.76666667,12.66666667,2.333333333,3.666666667,46.5,43.83333333,0.11,-1.5,-1.166666667
Lazio,28,38,70,507,188,37.3,13.34333333,4.95,0.12,0.32,17.63333333,16.33333333,9.333333333,12.33333333,60.5,50.93333333,0.103333333,9.5,9.733333333
Lecce,30,38,52,513,165,32.2,13.5,4.34,0.08,0.25,19.6,19,11,15,54.7,43.5,0.09,-2.7,-2.5
Leeds United,26,38,51,499,167.5,33.45,13.13,4.41,0.095,0.275,17.6,11,4.5,4.5,50,46.45,0.095,1,0.05
Leganes,29,38,30,427,143,33.5,11.24,3.76,0.06,0.19,19.2,29,3,5,39.9,35.9,0.09,-9.9,-8.9
Leicester City,26.33333333,38,63.66666667,479.6666667,172.3333333,36.03333333,12.62333333,4.536666667,0.12,0.34,17.93333333,18,5.666666667,7,55.26666667,49.73333333,0.106666667,8.4,8.266666667
Lens,27.5,38,56.5,472.5,158,33.2,12.435,4.16,0.105,0.31,18.55,18,7.5,8.5,53.3,46.85,0.1,3.2,2.15
Levante,29.66666667,38,47,409.3333333,134.6666667,32.9,10.77333333,3.543333333,0.1,0.31,18.3,15,5.333333333,8,47.86666667,41.66666667,0.106666667,-0.866666667,-1.48E-16
Lille,24,34.66666667,47.33333333,428,149.6666667,34.96666667,12.33333333,4.316666667,0.1,0.28,18.53333333,15.66666667,4.666666667,6,46.43333333,41.7,0.096666667,0.9,0.966666667
Liverpool,26.33333333,38,80.66666667,636.3333333,221.6666667,35,16.74333333,5.833333333,0.116666667,0.336666667,16.76666667,18.33333333,6,6.333333333,75.03333333,70.2,0.113333333,5.633333333,4.466666667
Lorient,28,38,42,429,138,32.15,11.29,3.63,0.085,0.265,19.75,31,6,6.5,44.95,40.2,0.095,-2.95,-4.2
Lyon,28.66666667,34.66666667,60.66666667,500.3333333,181.3333333,36.26666667,14.27666667,5.176666667,0.103333333,0.286666667,17.8,18.66666667,8,8.333333333,61.96666667,55.56666667,0.106666667,-1.3,-2.9
Mainz 05,28,34,43.33333333,429.6666667,141.3333333,33.06666667,12.64,4.156666667,0.093333333,0.276666667,17.96666667,15,4,4,49.5,46.33333333,0.11,-6.166666667,-7
Mallorca,32.5,38,36,425,124.5,29.3,11.185,3.28,0.07,0.235,19.35,22.5,7,8.5,39.95,33.3,0.08,-3.95,-4.3
Manchester City,24.66666667,38,92.66666667,676.3333333,232.6666667,34.5,17.8,6.123333333,0.13,0.373333333,16.63333333,21.66666667,6,9.666666667,82.96666667,75.4,0.116666667,9.7,11.26666667
Manchester United,29,38,63.66666667,516,192,37.2,13.58,5.053333333,0.11,0.293333333,18.3,24.33333333,7.666666667,10,59.36666667,51.5,0.103333333,4.3,4.5
Marseille,27,34.66666667,50.66666667,411,133.3333333,32.46666667,11.97333333,3.87,0.106666667,0.333333333,18.53333333,21.66666667,6,7.666666667,47.13333333,41.23333333,0.1,3.533333333,3.433333333
Metz,29,34.66666667,34,367,111.6666667,30.53333333,10.61666667,3.24,0.083333333,0.276666667,20.6,22,3.333333333,5.333333333,33.46666667,29.4,0.08,0.533333333,1.266666667
Milan,29.66666667,38,66,579.6666667,185.6666667,32.13333333,15.25333333,4.883333333,0.1,0.306666667,18.6,25.66666667,9.333333333,12.33333333,64.4,55.36666667,0.096666667,1.6,1.3
